layer,latent_mult,k,context_mode,feature_set,receiver_type,pair_idx,receiver_row_idx,matched_row_idx,receiver_example_id,matched_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,effect,strong_effect
26,2,4,dept,control5_active,benign,0,5359,120,BVC0790:319,AAF0535:177,0.25,0.5983762741088867,0.6043323278427124,0.005956053733825684,5,9,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,1,39873,121,UAD0771:289,AAF0535:178,0.25,0.3413577675819397,0.45579075813293457,0.11443299055099487,5,17,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,2,31026,122,NHH0185:24,AAF0535:179,1.0,0.4349653422832489,0.40869957208633423,-0.026265770196914673,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,3,33831,123,QSV0778:196,AAF0535:182,0.75,0.5097268223762512,0.3677630126476288,-0.14196380972862244,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,4,5452,124,BVC0790:430,AAF0535:183,0.5,0.43180400133132935,0.50071781873703,0.06891381740570068,5,10,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,5,22719,125,JZD0888:388,AAF0535:184,0.25,0.5134603977203369,0.48691850900650024,-0.02654188871383667,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,6,37438,126,SKG0759:445,AAF0535:185,0.25,0.42513179779052734,0.36055755615234375,-0.0645742416381836,5,8,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,7,12238,127,FMG0527:331,AAF0535:186,1.0,0.38054347038269043,0.402000367641449,0.021456897258758545,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,8,25592,128,LAP0338:325,AAF0535:190,1.0,0.3930779993534088,0.34684664011001587,-0.046231359243392944,5,9,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,9,3347,129,BHC0665:217,AAF0535:191,0.5,0.49655407667160034,0.5328863859176636,0.03633230924606323,5,13,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,10,2217,130,AKH0758:437,AAF0535:192,1.0,0.48736193776130676,0.3879145085811615,-0.09944742918014526,5,13,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,11,22098,131,JSH0330:193,AAF0535:193,0.25,0.32528024911880493,0.4016537070274353,0.07637345790863037,5,12,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,12,25990,132,LJR0523:106,AAF0535:196,0.5,0.6325156688690186,0.4983254671096802,-0.13419020175933838,5,8,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,13,39803,133,UAD0771:190,AAF0535:197,0.75,0.32878002524375916,0.37783360481262207,0.049053579568862915,5,8,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,14,22669,134,JZD0888:311,AAF0535:198,1.0,0.4931754767894745,0.4688436985015869,-0.024331778287887573,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,15,33881,135,QSV0778:267,AAF0535:199,0.25,0.5041568279266357,0.4047674834728241,-0.09938934445381165,5,11,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,16,36209,136,SBK0161:169,AAF0535:200,0.75,0.4822818636894226,0.4676787555217743,-0.014603108167648315,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,17,178,137,AAM0658:25,AAF0535:203,0.75,0.4099684953689575,0.45387163758277893,0.04390314221382141,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,18,14348,138,HAH0760:79,AAF0535:204,1.0,0.427752822637558,0.45141828060150146,0.02366545796394348,5,13,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,19,31345,139,NHH0185:485,AAF0535:205,1.0,0.4253365695476532,0.39127209782600403,-0.03406447172164917,5,10,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,20,26781,140,LUR0896:218,AAF0535:206,1.0,0.4163466691970825,0.5257342457771301,0.10938757658004761,5,11,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,21,12645,141,FOB0756:430,AAF0535:207,0.75,0.23055778443813324,0.4272330403327942,0.19667525589466095,5,13,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,22,26101,142,LNR0656:24,AAF0535:210,0.25,0.5137609839439392,0.6318740248680115,0.11811304092407227,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,23,24433,143,KLM0639:388,AAF0535:211,0.75,0.4449514150619507,0.44231942296028137,-0.0026319921016693115,5,5,"[6378, 3022, 1063, 886, 5508]",True,False
26,2,4,dept,control5_active,benign,24,9355,144,CYA0506:81,AAF0535:212,1.0,0.36575964093208313,0.5501821041107178,0.18442246317863464,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,25,5147,145,BVC0790:78,AAF0535:213,0.5,0.4422275722026825,0.4474543631076813,0.005226790904998779,5,8,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,26,12204,146,FMG0527:283,AAF0535:214,1.0,0.37823566794395447,0.41674333810806274,0.038507670164108276,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,27,36438,147,SBK0161:500,AAF0535:217,0.25,0.5942705273628235,0.5611066222190857,-0.03316390514373779,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,28,25704,148,LAP0338:444,AAF0535:218,0.25,0.33540526032447815,0.4317243695259094,0.09631910920143127,5,12,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,29,290,149,AAM0658:185,AAF0535:219,0.25,0.39610302448272705,0.46479639410972595,0.0686933696269989,5,9,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,30,25618,150,LAP0338:354,AAF0535:220,0.75,0.3279056251049042,0.48234906792640686,0.15444344282150269,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,31,281,151,AAM0658:172,AAF0535:221,0.25,0.39794501662254333,0.4996083676815033,0.10166335105895996,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,32,31016,152,NHH0185:10,AAF0535:224,0.5,0.4268108010292053,0.372768759727478,-0.054042041301727295,5,9,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,33,5413,153,BVC0790:385,AAF0535:225,0.25,0.47352591156959534,0.5635826587677002,0.09005674719810486,5,11,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,34,12492,154,FOB0756:248,AAF0535:226,0.25,0.2085965871810913,0.256443589925766,0.04784700274467468,5,12,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,35,37440,155,SKG0759:449,AAF0535:227,0.25,0.39797717332839966,0.3186173141002655,-0.07935985922813416,5,8,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,36,14348,156,HAH0760:79,AAF0535:228,1.0,0.427752822637558,0.45141828060150146,0.02366545796394348,5,13,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,37,22487,365,JZD0888:51,AAM0658:294,0.5,0.5063931345939636,0.5132755637168884,0.006882429122924805,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,38,4251,366,BQS0525:19,AAM0658:295,0.25,0.7926007509231567,0.7093662023544312,-0.08323454856872559,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,39,33732,367,QSV0778:52,AAM0658:296,0.5,0.5308654308319092,0.40143629908561707,-0.12942913174629211,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,40,34019,368,QSV0778:466,AAM0658:297,0.75,0.5102711915969849,0.38954466581344604,-0.12072652578353882,5,11,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,41,6566,369,CCH0182:473,AAM0658:298,1.0,0.5478221774101257,0.519142210483551,-0.028679966926574707,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,42,31111,370,NHH0185:144,AAM0658:299,0.5,0.43566077947616577,0.4150013029575348,-0.02065947651863098,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,43,27971,635,MAW0166:284,ABC0174:298,1.0,0.4193483889102936,0.5251113772392273,0.10576298832893372,5,2,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,44,15578,636,HCV0478:393,ABC0174:301,0.25,0.328350692987442,0.45046499371528625,0.12211430072784424,5,10,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,45,36763,637,SCF0608:470,ABC0174:302,0.25,0.5879105925559998,0.7753384709358215,0.18742787837982178,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,46,31935,638,NSS0876:337,ABC0174:303,0.25,0.5041531324386597,0.5068069696426392,0.002653837203979492,5,0,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,47,12953,639,FSC0601:365,ABC0174:304,1.0,0.4995625615119934,0.5103246569633484,0.01076209545135498,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,48,26497,640,LQC0479:94,ABC0174:305,0.5,0.6449713706970215,0.607583224773407,-0.0373881459236145,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,49,27224,641,MAH0864:428,ABC0174:308,0.75,0.3458642065525055,0.44639039039611816,0.10052618384361267,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,50,21652,642,JMB0308:177,ABC0174:309,0.75,0.623568594455719,0.6859610676765442,0.062392473220825195,5,1,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,51,36763,643,SCF0608:470,ABC0174:310,0.25,0.5879105925559998,0.7753384709358215,0.18742787837982178,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,52,15414,644,HCV0478:151,ABC0174:311,0.25,0.323630154132843,0.37172242999076843,0.048092275857925415,5,11,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,53,3620,645,BIH0745:112,ABC0174:312,0.25,0.35596686601638794,0.41745299100875854,0.061486124992370605,5,2,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,54,35172,646,RKD0604:120,ABC0174:315,0.5,0.5383318662643433,0.494994193315506,-0.04333767294883728,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,55,31915,647,NSS0876:305,ABC0174:316,0.5,0.5126959085464478,0.4038529694080353,-0.10884293913841248,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,56,23560,648,KKW0879:91,ABC0174:317,0.25,0.5967950820922852,0.5325057506561279,-0.06428933143615723,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,57,31915,649,NSS0876:305,ABC0174:318,0.5,0.5126959085464478,0.4038529694080353,-0.10884293913841248,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,58,34741,650,RGH0728:157,ABC0174:319,0.25,0.41746091842651367,0.38758260011672974,-0.029878318309783936,5,2,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,59,38487,651,SVS0871:462,ABC0174:320,0.75,0.4487246572971344,0.4908031225204468,0.04207846522331238,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,60,26623,652,LQC0479:276,ABC0174:322,1.0,0.6474449038505554,0.5343849062919617,-0.11305999755859375,5,8,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,61,31806,653,NSS0876:149,ABC0174:323,0.5,0.4810532033443451,0.41027548909187317,-0.07077771425247192,5,1,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,62,15447,654,HCV0478:200,ABC0174:324,0.25,0.3224830627441406,0.3784898817539215,0.056006819009780884,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,63,26437,655,LQC0479:10,ABC0174:325,0.5,0.6799194812774658,0.5156949758529663,-0.1642245054244995,5,1,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,64,31859,656,NSS0876:226,ABC0174:326,0.75,0.4758133888244629,0.4118534028530121,-0.0639599859714508,5,1,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,65,36609,657,SCF0608:246,ABC0174:327,0.75,0.5350257754325867,0.5559795498847961,0.020953774452209473,5,9,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,66,26992,658,MAH0864:91,ABC0174:328,0.25,0.32639333605766296,0.32117360830307007,-0.0052197277545928955,5,2,"[6378, 3022, 1063, 886, 5508]",True,False
26,2,4,dept,control5_active,benign,67,16791,659,HKI0171:133,ABC0174:329,0.75,0.463367760181427,0.49279049038887024,0.029422730207443237,5,2,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,68,27245,660,MAH0864:457,ABC0174:330,0.5,0.33366861939430237,0.3603546917438507,0.02668607234954834,5,1,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,69,9086,661,CSH0626:234,ABC0174:331,0.75,0.41256991028785706,0.4138369858264923,0.001267075538635254,5,8,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,70,9231,662,CSH0626:414,ABC0174:332,0.75,0.4116583466529846,0.41362375020980835,0.0019654035568237305,5,9,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,71,25172,663,KRL0501:238,ABC0174:336,0.25,0.40508848428726196,0.48397254943847656,0.0788840651512146,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,72,38439,664,SVS0871:394,ABC0174:337,0.75,0.48448169231414795,0.561025857925415,0.07654416561126709,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,73,15644,665,HCV0478:486,ABC0174:338,0.75,0.31997883319854736,0.3662024438381195,0.046223610639572144,5,15,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,74,3618,666,BIH0745:108,ABC0174:339,0.25,0.3538312315940857,0.3642686903476715,0.010437458753585815,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,75,31709,667,NSS0876:11,ABC0174:340,0.75,0.4856809079647064,0.4223824143409729,-0.06329849362373352,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,76,27810,668,MAW0166:53,ABC0174:342,0.25,0.4518730342388153,0.43618860840797424,-0.015684425830841064,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,77,12893,669,FSC0601:275,ABC0174:343,0.75,0.3407215178012848,0.40108320116996765,0.06036168336868286,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,78,8963,670,CSH0626:84,ABC0174:344,0.75,0.4193233549594879,0.37428027391433716,-0.04504308104515076,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,79,17045,671,HKI0171:500,ABC0174:345,0.5,0.4653748571872711,0.5213508009910583,0.05597594380378723,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,80,9138,672,CSH0626:298,ABC0174:346,0.5,0.4065067768096924,0.3941986560821533,-0.012308120727539062,5,9,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,81,16291,673,HJB0742:238,ABC0174:347,0.25,0.31607186794281006,0.3606846332550049,0.044612765312194824,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,82,3654,674,BIH0745:161,ABC0174:348,0.25,0.37091735005378723,0.40653085708618164,0.03561350703239441,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,83,15327,675,HCV0478:29,ABC0174:350,0.5,0.3486436903476715,0.43667498230934143,0.08803129196166992,5,9,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,84,26565,676,LQC0479:193,ABC0174:351,0.75,0.6101710200309753,0.6170222759246826,0.006851255893707275,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,85,31719,677,NSS0876:25,ABC0174:352,1.0,0.5020304322242737,0.46449851989746094,-0.037531912326812744,5,2,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,86,27216,678,MAH0864:416,ABC0174:353,0.75,0.29855889081954956,0.4405970275402069,0.14203813672065735,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,87,38256,679,SVS0871:127,ABC0174:354,0.5,0.44324567914009094,0.41814348101615906,-0.025102198123931885,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,benign,88,15741,1895,HDD0806:95,AJR0932:253,0.75,0.4486542046070099,0.5091069936752319,0.060452789068222046,5,11,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,benign,89,6595,1896,CCL0068:17,AJR0932:254,0.5,0.4234495460987091,0.3743230402469635,-0.049126505851745605,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
